Date,Values,Delta Calculations,Delta - Mean(-0.0012998859749100001)
2011-02-16,0.31,-0.020000000000000018,-0.018700114025090017
2011-02-17,0.31,0.0,0.0012998859749100001
2011-02-18,0.31,0.0,0.0012998859749100001
2011-02-22,0.33,0.020000000000000018,0.02129988597491002
2011-02-23,0.33,0.0,0.0012998859749100001
2011-02-24,0.31,-0.020000000000000018,-0.018700114025090017
2011-02-25,0.32,0.010000000000000009,0.01129988597491001
2011-02-28,0.33,0.010000000000000009,0.01129988597491001
2011-03-01,0.33,0.0,0.0012998859749100001
2011-03-02,0.32,-0.010000000000000009,-0.008700114025090008
2011-03-03,0.33,0.010000000000000009,0.01129988597491001
2011-03-04,0.32,-0.010000000000000009,-0.008700114025090008
2011-03-07,0.32,0.0,0.0012998859749100001
2011-03-08,0.33,0.010000000000000009,0.01129988597491001
2011-03-09,0.32,-0.010000000000000009,-0.008700114025090008
2011-03-10,0.32,0.0,0.0012998859749100001
2011-03-11,0.32,0.0,0.0012998859749100001
2011-03-14,0.32,0.0,0.0012998859749100001
2011-03-15,0.32,0.0,0.0012998859749100001
2011-03-16,0.32,0.0,0.0012998859749100001
2011-03-17,0.31,-0.010000000000000009,-0.008700114025090008
2011-03-18,0.32,0.010000000000000009,0.01129988597491001
2011-03-21,0.3,-0.020000000000000018,-0.018700114025090017
2011-03-22,0.3,0.0,0.0012998859749100001
2011-03-23,0.31,0.010000000000000009,0.01129988597491001
2011-03-24,0.32,0.010000000000000009,0.01129988597491001
2011-03-25,0.33,0.010000000000000009,0.01129988597491001
2011-03-28,0.32,-0.010000000000000009,-0.008700114025090008
2011-03-29,0.32,0.0,0.0012998859749100001
2011-03-30,0.31,-0.010000000000000009,-0.008700114025090008
2011-03-31,0.31,0.0,0.0012998859749100001
2011-04-01,0.31,0.0,0.0012998859749100001
2011-04-04,0.32,0.010000000000000009,0.01129988597491001
2011-04-05,0.31,-0.010000000000000009,-0.008700114025090008
2011-04-06,0.31,0.0,0.0012998859749100001
2011-04-07,0.31,0.0,0.0012998859749100001
2011-04-08,0.31,0.0,0.0012998859749100001
2011-04-11,0.32,0.010000000000000009,0.01129988597491001
2011-04-12,0.31,-0.010000000000000009,-0.008700114025090008
2011-04-13,0.31,0.0,0.0012998859749100001
2011-04-14,0.31,0.0,0.0012998859749100001
2011-04-15,0.32,0.010000000000000009,0.01129988597491001
2011-04-18,0.3,-0.020000000000000018,-0.018700114025090017
2011-04-19,0.3,0.0,0.0012998859749100001
2011-04-20,0.29,-0.010000000000000009,-0.008700114025090008
2011-04-21,0.3,0.010000000000000009,0.01129988597491001
2011-04-25,0.29,-0.010000000000000009,-0.008700114025090008
2011-04-26,0.29,0.0,0.0012998859749100001
2011-04-27,0.29,0.0,0.0012998859749100001
2011-04-28,0.29,0.0,0.0012998859749100001
2011-04-29,0.3,0.010000000000000009,0.01129988597491001
2011-05-02,0.3,0.0,0.0012998859749100001
2011-05-03,0.3,0.0,0.0012998859749100001
2011-05-04,0.3,0.0,0.0012998859749100001
2011-05-05,0.3,0.0,0.0012998859749100001
2011-05-06,0.3,0.0,0.0012998859749100001
2011-05-09,0.29,-0.010000000000000009,-0.008700114025090008
2011-05-10,0.29,0.0,0.0012998859749100001
2011-05-11,0.28,-0.009999999999999953,-0.008700114025089953
2011-05-12,0.28,0.0,0.0012998859749100001
2011-05-13,0.29,0.009999999999999953,0.011299885974909954
2011-05-16,0.29,0.0,0.0012998859749100001
2011-05-17,0.28,-0.009999999999999953,-0.008700114025089953
2011-05-18,0.28,0.0,0.0012998859749100001
2011-05-19,0.29,0.009999999999999953,0.011299885974909954
2011-05-20,0.3,0.010000000000000009,0.01129988597491001
2011-05-23,0.3,0.0,0.0012998859749100001
2011-05-24,0.31,0.010000000000000009,0.01129988597491001
2011-05-25,0.31,0.0,0.0012998859749100001
2011-05-26,0.31,0.0,0.0012998859749100001
2011-05-27,0.31,0.0,0.0012998859749100001
2011-05-31,0.32,0.010000000000000009,0.01129988597491001
2011-06-01,0.32,0.0,0.0012998859749100001
2011-06-02,0.31,-0.010000000000000009,-0.008700114025090008
2011-06-03,0.31,0.0,0.0012998859749100001
2011-06-06,0.31,0.0,0.0012998859749100001
2011-06-07,0.31,0.0,0.0012998859749100001
2011-06-08,0.3,-0.010000000000000009,-0.008700114025090008
2011-06-09,0.3,0.0,0.0012998859749100001
2011-06-10,0.3,0.0,0.0012998859749100001
2011-06-13,0.29,-0.010000000000000009,-0.008700114025090008
2011-06-14,0.3,0.010000000000000009,0.01129988597491001
2011-06-15,0.31,0.010000000000000009,0.01129988597491001
2011-06-16,0.3,-0.010000000000000009,-0.008700114025090008
2011-06-17,0.29,-0.010000000000000009,-0.008700114025090008
2011-06-20,0.28,-0.009999999999999953,-0.008700114025089953
2011-06-21,0.29,0.009999999999999953,0.011299885974909954
2011-06-22,0.28,-0.009999999999999953,-0.008700114025089953
2011-06-23,0.28,0.0,0.0012998859749100001
2011-06-24,0.28,0.0,0.0012998859749100001
2011-06-27,0.28,0.0,0.0012998859749100001
2011-06-28,0.28,0.0,0.0012998859749100001
2011-06-29,0.28,0.0,0.0012998859749100001
2011-06-30,0.28,0.0,0.0012998859749100001
2011-07-01,0.28,0.0,0.0012998859749100001
2011-07-05,0.28,0.0,0.0012998859749100001
2011-07-06,0.27,-0.010000000000000009,-0.008700114025090008
2011-07-07,0.27,0.0,0.0012998859749100001
2011-07-08,0.27,0.0,0.0012998859749100001
2011-07-11,0.27,0.0,0.0012998859749100001
2011-07-12,0.3,0.02999999999999997,0.03129988597490997
2011-07-13,0.3,0.0,0.0012998859749100001
2011-07-14,0.29,-0.010000000000000009,-0.008700114025090008
2011-07-15,0.3,0.010000000000000009,0.01129988597491001
2011-07-18,0.3,0.0,0.0012998859749100001
2011-07-19,0.3,0.0,0.0012998859749100001
2011-07-20,0.29,-0.010000000000000009,-0.008700114025090008
2011-07-21,0.28,-0.009999999999999953,-0.008700114025089953
2011-07-22,0.29,0.009999999999999953,0.011299885974909954
2011-07-25,0.3,0.010000000000000009,0.01129988597491001
2011-07-26,0.29,-0.010000000000000009,-0.008700114025090008
2011-07-27,0.3,0.010000000000000009,0.01129988597491001
2011-07-28,0.3,0.0,0.0012998859749100001
2011-07-29,0.32,0.020000000000000018,0.02129988597491002
2011-08-01,0.36,0.03999999999999998,0.04129988597490998
2011-08-02,0.37,0.010000000000000009,0.01129988597491001
2011-08-03,0.32,-0.04999999999999999,-0.04870011402508999
2011-08-04,0.31,-0.010000000000000009,-0.008700114025090008
2011-08-05,0.31,0.0,0.0012998859749100001
2011-08-08,0.32,0.010000000000000009,0.01129988597491001
2011-08-09,0.31,-0.010000000000000009,-0.008700114025090008
2011-08-10,0.31,0.0,0.0012998859749100001
2011-08-11,0.32,0.010000000000000009,0.01129988597491001
2011-08-12,0.33,0.010000000000000009,0.01129988597491001
2011-08-15,0.33,0.0,0.0012998859749100001
2011-08-16,0.32,-0.010000000000000009,-0.008700114025090008
2011-08-17,0.31,-0.010000000000000009,-0.008700114025090008
2011-08-18,0.31,0.0,0.0012998859749100001
2011-08-19,0.31,0.0,0.0012998859749100001
2011-08-22,0.3,-0.010000000000000009,-0.008700114025090008
2011-08-23,0.31,0.010000000000000009,0.01129988597491001
2011-08-24,0.3,-0.010000000000000009,-0.008700114025090008
2011-08-25,0.31,0.010000000000000009,0.01129988597491001
2011-08-26,0.32,0.010000000000000009,0.01129988597491001
2011-08-29,0.32,0.0,0.0012998859749100001
2011-08-30,0.32,0.0,0.0012998859749100001
2011-08-31,0.31,-0.010000000000000009,-0.008700114025090008
2011-09-01,0.29,-0.020000000000000018,-0.018700114025090017
2011-09-02,0.3,0.010000000000000009,0.01129988597491001
2011-09-06,0.3,0.0,0.0012998859749100001
2011-09-07,0.3,0.0,0.0012998859749100001
2011-09-08,0.29,-0.010000000000000009,-0.008700114025090008
2011-09-09,0.31,0.020000000000000018,0.02129988597491002
2011-09-12,0.32,0.010000000000000009,0.01129988597491001
2011-09-13,0.31,-0.010000000000000009,-0.008700114025090008
2011-09-14,0.32,0.010000000000000009,0.01129988597491001
2011-09-15,0.32,0.0,0.0012998859749100001
2011-09-16,0.32,0.0,0.0012998859749100001
2011-09-19,0.31,-0.010000000000000009,-0.008700114025090008
2011-09-20,0.3,-0.010000000000000009,-0.008700114025090008
2011-09-21,0.3,0.0,0.0012998859749100001
2011-09-22,0.31,0.010000000000000009,0.01129988597491001
2011-09-23,0.31,0.0,0.0012998859749100001
2011-09-26,0.31,0.0,0.0012998859749100001
2011-09-27,0.3,-0.010000000000000009,-0.008700114025090008
2011-09-28,0.31,0.010000000000000009,0.01129988597491001
2011-09-29,0.28,-0.02999999999999997,-0.02870011402508997
2011-09-30,0.29,0.009999999999999953,0.011299885974909954
2011-10-03,0.3,0.010000000000000009,0.01129988597491001
2011-10-04,0.3,0.0,0.0012998859749100001
2011-10-05,0.28,-0.019999999999999962,-0.01870011402508996
2011-10-06,0.29,0.009999999999999953,0.011299885974909954
2011-10-07,0.31,0.020000000000000018,0.02129988597491002
2011-10-11,0.31,0.0,0.0012998859749100001
2011-10-12,0.31,0.0,0.0012998859749100001
2011-10-13,0.3,-0.010000000000000009,-0.008700114025090008
2011-10-14,0.31,0.010000000000000009,0.01129988597491001
2011-10-17,0.31,0.0,0.0012998859749100001
2011-10-18,0.3,-0.010000000000000009,-0.008700114025090008
2011-10-19,0.31,0.010000000000000009,0.01129988597491001
2011-10-20,0.3,-0.010000000000000009,-0.008700114025090008
2011-10-21,0.3,0.0,0.0012998859749100001
2011-10-24,0.31,0.010000000000000009,0.01129988597491001
2011-10-25,0.31,0.0,0.0012998859749100001
2011-10-26,0.3,-0.010000000000000009,-0.008700114025090008
2011-10-27,0.31,0.010000000000000009,0.01129988597491001
2011-10-28,0.3,-0.010000000000000009,-0.008700114025090008
2011-10-31,0.31,0.010000000000000009,0.01129988597491001
2011-11-01,0.3,-0.010000000000000009,-0.008700114025090008
2011-11-02,0.31,0.010000000000000009,0.01129988597491001
2011-11-03,0.32,0.010000000000000009,0.01129988597491001
2011-11-04,0.32,0.0,0.0012998859749100001
2011-11-07,0.32,0.0,0.0012998859749100001
2011-11-08,0.31,-0.010000000000000009,-0.008700114025090008
2011-11-09,0.32,0.010000000000000009,0.01129988597491001
2011-11-10,0.32,0.0,0.0012998859749100001
2011-11-14,0.33,0.010000000000000009,0.01129988597491001
2011-11-15,0.33,0.0,0.0012998859749100001
2011-11-16,0.32,-0.010000000000000009,-0.008700114025090008
2011-11-17,0.32,0.0,0.0012998859749100001
2011-11-18,0.33,0.010000000000000009,0.01129988597491001
2011-11-21,0.33,0.0,0.0012998859749100001
2011-11-22,0.34,0.010000000000000009,0.01129988597491001
2011-11-23,0.34,0.0,0.0012998859749100001
2011-11-25,0.34,0.0,0.0012998859749100001
2011-11-28,0.36,0.019999999999999962,0.021299885974909963
2011-11-29,0.35,-0.010000000000000009,-0.008700114025090008
2011-11-30,0.35,0.0,0.0012998859749100001
2011-12-01,0.35,0.0,0.0012998859749100001
2011-12-02,0.36,0.010000000000000009,0.01129988597491001
2011-12-05,0.37,0.010000000000000009,0.01129988597491001
2011-12-06,0.35,-0.020000000000000018,-0.018700114025090017
2011-12-07,0.36,0.010000000000000009,0.01129988597491001
2011-12-08,0.35,-0.010000000000000009,-0.008700114025090008
2011-12-09,0.35,0.0,0.0012998859749100001
2011-12-12,0.35,0.0,0.0012998859749100001
2011-12-13,0.35,0.0,0.0012998859749100001
2011-12-14,0.35,0.0,0.0012998859749100001
2011-12-15,0.34,-0.009999999999999953,-0.008700114025089953
2011-12-16,0.36,0.019999999999999962,0.021299885974909963
2011-12-19,0.37,0.010000000000000009,0.01129988597491001
2011-12-20,0.36,-0.010000000000000009,-0.008700114025090008
2011-12-21,0.36,0.0,0.0012998859749100001
2011-12-22,0.36,0.0,0.0012998859749100001
2011-12-23,0.36,0.0,0.0012998859749100001
2011-12-27,0.36,0.0,0.0012998859749100001
2011-12-28,0.35,-0.010000000000000009,-0.008700114025090008
2011-12-29,0.36,0.010000000000000009,0.01129988597491001
2011-12-30,0.36,0.0,0.0012998859749100001
2012-01-03,0.37,0.010000000000000009,0.01129988597491001
2012-01-04,0.36,-0.010000000000000009,-0.008700114025090008
2012-01-05,0.36,0.0,0.0012998859749100001
2012-01-06,0.36,0.0,0.0012998859749100001
2012-01-09,0.36,0.0,0.0012998859749100001
2012-01-10,0.36,0.0,0.0012998859749100001
2012-01-11,0.36,0.0,0.0012998859749100001
2012-01-12,0.33,-0.02999999999999997,-0.02870011402508997
2012-01-13,0.35,0.019999999999999962,0.021299885974909963
2012-01-17,0.36,0.010000000000000009,0.01129988597491001
2012-01-18,0.36,0.0,0.0012998859749100001
2012-01-19,0.36,0.0,0.0012998859749100001
2012-01-20,0.37,0.010000000000000009,0.01129988597491001
2012-01-23,0.37,0.0,0.0012998859749100001
2012-01-24,0.37,0.0,0.0012998859749100001
2012-01-25,0.37,0.0,0.0012998859749100001
2012-01-26,0.37,0.0,0.0012998859749100001
2012-01-27,0.37,0.0,0.0012998859749100001
2012-01-30,0.37,0.0,0.0012998859749100001
2012-01-31,0.39,0.020000000000000018,0.02129988597491002
2012-02-01,0.38,-0.010000000000000009,-0.008700114025090008
2012-02-02,0.37,-0.010000000000000009,-0.008700114025090008
2012-02-03,0.38,0.010000000000000009,0.01129988597491001
2012-02-06,0.37,-0.010000000000000009,-0.008700114025090008
2012-02-07,0.36,-0.010000000000000009,-0.008700114025090008
2012-02-08,0.36,0.0,0.0012998859749100001
2012-02-09,0.37,0.010000000000000009,0.01129988597491001
2012-02-10,0.37,0.0,0.0012998859749100001
2012-02-13,0.37,0.0,0.0012998859749100001
2012-02-14,0.36,-0.010000000000000009,-0.008700114025090008
2012-02-15,0.38,0.020000000000000018,0.02129988597491002
2012-02-16,0.37,-0.010000000000000009,-0.008700114025090008
2012-02-17,0.37,0.0,0.0012998859749100001
2012-02-21,0.37,0.0,0.0012998859749100001
2012-02-22,0.36,-0.010000000000000009,-0.008700114025090008
2012-02-23,0.36,0.0,0.0012998859749100001
2012-02-24,0.37,0.010000000000000009,0.01129988597491001
2012-02-27,0.37,0.0,0.0012998859749100001
2012-02-28,0.37,0.0,0.0012998859749100001
2012-02-29,0.37,0.0,0.0012998859749100001
2012-03-01,0.36,-0.010000000000000009,-0.008700114025090008
2012-03-02,0.37,0.010000000000000009,0.01129988597491001
2012-03-05,0.38,0.010000000000000009,0.01129988597491001
2012-03-06,0.36,-0.020000000000000018,-0.018700114025090017
2012-03-07,0.36,0.0,0.0012998859749100001
2012-03-08,0.35,-0.010000000000000009,-0.008700114025090008
2012-03-09,0.36,0.010000000000000009,0.01129988597491001
2012-03-12,0.36,0.0,0.0012998859749100001
2012-03-13,0.36,0.0,0.0012998859749100001
2012-03-14,0.36,0.0,0.0012998859749100001
2012-03-15,0.38,0.020000000000000018,0.02129988597491002
2012-03-16,0.39,0.010000000000000009,0.01129988597491001
2012-03-19,0.39,0.0,0.0012998859749100001
2012-03-20,0.37,-0.020000000000000018,-0.018700114025090017
2012-03-21,0.37,0.0,0.0012998859749100001
2012-03-22,0.36,-0.010000000000000009,-0.008700114025090008
2012-03-23,0.37,0.010000000000000009,0.01129988597491001
2012-03-26,0.4,0.030000000000000027,0.03129988597491003
2012-03-27,0.39,-0.010000000000000009,-0.008700114025090008
2012-03-28,0.39,0.0,0.0012998859749100001
2012-03-29,0.39,0.0,0.0012998859749100001
2012-03-30,0.37,-0.020000000000000018,-0.018700114025090017
2012-04-02,0.39,0.020000000000000018,0.02129988597491002
2012-04-03,0.39,0.0,0.0012998859749100001
2012-04-04,0.37,-0.020000000000000018,-0.018700114025090017
2012-04-05,0.39,0.020000000000000018,0.02129988597491002
2012-04-06,0.45,0.06,0.06129988597491
2012-04-09,0.39,-0.06,-0.05870011402509
2012-04-10,0.39,0.0,0.0012998859749100001
2012-04-11,0.38,-0.010000000000000009,-0.008700114025090008
2012-04-12,0.38,0.0,0.0012998859749100001
2012-04-13,0.38,0.0,0.0012998859749100001
2012-04-16,0.39,0.010000000000000009,0.01129988597491001
2012-04-17,0.39,0.0,0.0012998859749100001
2012-04-18,0.38,-0.010000000000000009,-0.008700114025090008
2012-04-19,0.38,0.0,0.0012998859749100001
2012-04-20,0.37,-0.010000000000000009,-0.008700114025090008
2012-04-23,0.37,0.0,0.0012998859749100001
2012-04-24,0.38,0.010000000000000009,0.01129988597491001
2012-04-25,0.38,0.0,0.0012998859749100001
2012-04-26,0.37,-0.010000000000000009,-0.008700114025090008
2012-04-27,0.38,0.010000000000000009,0.01129988597491001
2012-04-30,0.39,0.010000000000000009,0.01129988597491001
2012-05-01,0.39,0.0,0.0012998859749100001
2012-05-02,0.39,0.0,0.0012998859749100001
2012-05-03,0.38,-0.010000000000000009,-0.008700114025090008
2012-05-04,0.38,0.0,0.0012998859749100001
2012-05-07,0.39,0.010000000000000009,0.01129988597491001
2012-05-08,0.38,-0.010000000000000009,-0.008700114025090008
2012-05-09,0.38,0.0,0.0012998859749100001
2012-05-10,0.37,-0.010000000000000009,-0.008700114025090008
2012-05-11,0.38,0.010000000000000009,0.01129988597491001
2012-05-14,0.4,0.020000000000000018,0.02129988597491002
2012-05-15,0.4,0.0,0.0012998859749100001
2012-05-16,0.4,0.0,0.0012998859749100001
2012-05-17,0.39,-0.010000000000000009,-0.008700114025090008
2012-05-18,0.38,-0.010000000000000009,-0.008700114025090008
2012-05-21,0.38,0.0,0.0012998859749100001
2012-05-22,0.38,0.0,0.0012998859749100001
2012-05-23,0.38,0.0,0.0012998859749100001
2012-05-24,0.38,0.0,0.0012998859749100001
2012-05-25,0.38,0.0,0.0012998859749100001
2012-05-29,0.39,0.010000000000000009,0.01129988597491001
2012-05-30,0.39,0.0,0.0012998859749100001
2012-05-31,0.38,-0.010000000000000009,-0.008700114025090008
2012-06-01,0.39,0.010000000000000009,0.01129988597491001
2012-06-04,0.39,0.0,0.0012998859749100001
2012-06-05,0.39,0.0,0.0012998859749100001
2012-06-06,0.38,-0.010000000000000009,-0.008700114025090008
2012-06-07,0.38,0.0,0.0012998859749100001
2012-06-08,0.37,-0.010000000000000009,-0.008700114025090008
2012-06-11,0.38,0.010000000000000009,0.01129988597491001
2012-06-12,0.38,0.0,0.0012998859749100001
2012-06-13,0.38,0.0,0.0012998859749100001
2012-06-14,0.38,0.0,0.0012998859749100001
2012-06-15,0.4,0.020000000000000018,0.02129988597491002
2012-06-18,0.39,-0.010000000000000009,-0.008700114025090008
2012-06-19,0.38,-0.010000000000000009,-0.008700114025090008
2012-06-20,0.38,0.0,0.0012998859749100001
2012-06-21,0.38,0.0,0.0012998859749100001
2012-06-22,0.39,0.010000000000000009,0.01129988597491001
2012-06-25,0.4,0.010000000000000009,0.01129988597491001
2012-06-26,0.39,-0.010000000000000009,-0.008700114025090008
2012-06-27,0.39,0.0,0.0012998859749100001
2012-06-28,0.38,-0.010000000000000009,-0.008700114025090008
2012-06-29,0.39,0.010000000000000009,0.01129988597491001
2012-07-02,0.4,0.010000000000000009,0.01129988597491001
2012-07-03,0.39,-0.010000000000000009,-0.008700114025090008
2012-07-05,0.39,0.0,0.0012998859749100001
2012-07-06,0.38,-0.010000000000000009,-0.008700114025090008
2012-07-09,0.38,0.0,0.0012998859749100001
2012-07-10,0.38,0.0,0.0012998859749100001
2012-07-11,0.38,0.0,0.0012998859749100001
2012-07-12,0.38,0.0,0.0012998859749100001
2012-07-13,0.38,0.0,0.0012998859749100001
2012-07-16,0.39,0.010000000000000009,0.01129988597491001
2012-07-17,0.38,-0.010000000000000009,-0.008700114025090008
2012-07-18,0.38,0.0,0.0012998859749100001
2012-07-19,0.37,-0.010000000000000009,-0.008700114025090008
2012-07-20,0.38,0.010000000000000009,0.01129988597491001
2012-07-23,0.39,0.010000000000000009,0.01129988597491001
2012-07-24,0.37,-0.020000000000000018,-0.018700114025090017
2012-07-25,0.39,0.020000000000000018,0.02129988597491002
2012-07-26,0.38,-0.010000000000000009,-0.008700114025090008
2012-07-27,0.38,0.0,0.0012998859749100001
2012-07-30,0.39,0.010000000000000009,0.01129988597491001
2012-07-31,0.39,0.0,0.0012998859749100001
2012-08-01,0.39,0.0,0.0012998859749100001
2012-08-02,0.39,0.0,0.0012998859749100001
2012-08-03,0.38,-0.010000000000000009,-0.008700114025090008
2012-08-06,0.39,0.010000000000000009,0.01129988597491001
2012-08-07,0.38,-0.010000000000000009,-0.008700114025090008
2012-08-08,0.38,0.0,0.0012998859749100001
2012-08-09,0.37,-0.010000000000000009,-0.008700114025090008
2012-08-10,0.38,0.010000000000000009,0.01129988597491001
2012-08-13,0.39,0.010000000000000009,0.01129988597491001
2012-08-14,0.39,0.0,0.0012998859749100001
2012-08-15,0.39,0.0,0.0012998859749100001
2012-08-16,0.4,0.010000000000000009,0.01129988597491001
2012-08-17,0.39,-0.010000000000000009,-0.008700114025090008
2012-08-20,0.38,-0.010000000000000009,-0.008700114025090008
2012-08-21,0.39,0.010000000000000009,0.01129988597491001
2012-08-22,0.39,0.0,0.0012998859749100001
2012-08-23,0.39,0.0,0.0012998859749100001
2012-08-24,0.39,0.0,0.0012998859749100001
2012-08-27,0.41,0.019999999999999962,0.021299885974909963
2012-08-28,0.4,-0.009999999999999953,-0.008700114025089953
2012-08-29,0.4,0.0,0.0012998859749100001
2012-08-30,0.38,-0.020000000000000018,-0.018700114025090017
2012-08-31,0.38,0.0,0.0012998859749100001
2012-09-04,0.4,0.020000000000000018,0.02129988597491002
2012-09-05,0.39,-0.010000000000000009,-0.008700114025090008
2012-09-06,0.4,0.010000000000000009,0.01129988597491001
2012-09-07,0.4,0.0,0.0012998859749100001
2012-09-10,0.41,0.009999999999999953,0.011299885974909954
2012-09-11,0.38,-0.02999999999999997,-0.02870011402508997
2012-09-12,0.39,0.010000000000000009,0.01129988597491001
2012-09-13,0.4,0.010000000000000009,0.01129988597491001
2012-09-14,0.39,-0.010000000000000009,-0.008700114025090008
2012-09-17,0.41,0.019999999999999962,0.021299885974909963
2012-09-18,0.41,0.0,0.0012998859749100001
2012-09-19,0.4,-0.009999999999999953,-0.008700114025089953
2012-09-20,0.39,-0.010000000000000009,-0.008700114025090008
2012-09-21,0.39,0.0,0.0012998859749100001
2012-09-24,0.4,0.010000000000000009,0.01129988597491001
2012-09-25,0.4,0.0,0.0012998859749100001
2012-09-26,0.4,0.0,0.0012998859749100001
2012-09-27,0.42,0.019999999999999962,0.021299885974909963
2012-09-28,0.38,-0.03999999999999998,-0.03870011402508998
2012-10-01,0.38,0.0,0.0012998859749100001
2012-10-02,0.38,0.0,0.0012998859749100001
2012-10-03,0.37,-0.010000000000000009,-0.008700114025090008
2012-10-04,0.38,0.010000000000000009,0.01129988597491001
2012-10-05,0.37,-0.010000000000000009,-0.008700114025090008
2012-10-09,0.38,0.010000000000000009,0.01129988597491001
2012-10-10,0.38,0.0,0.0012998859749100001
2012-10-11,0.38,0.0,0.0012998859749100001
2012-10-12,0.38,0.0,0.0012998859749100001
2012-10-15,0.38,0.0,0.0012998859749100001
2012-10-16,0.38,0.0,0.0012998859749100001
2012-10-17,0.37,-0.010000000000000009,-0.008700114025090008
2012-10-18,0.38,0.010000000000000009,0.01129988597491001
2012-10-19,0.37,-0.010000000000000009,-0.008700114025090008
2012-10-22,0.37,0.0,0.0012998859749100001
2012-10-23,0.37,0.0,0.0012998859749100001
2012-10-24,0.36,-0.010000000000000009,-0.008700114025090008
2012-10-25,0.37,0.010000000000000009,0.01129988597491001
2012-10-26,0.38,0.010000000000000009,0.01129988597491001
2012-10-29,0.37,-0.010000000000000009,-0.008700114025090008
2012-10-30,0.41,0.03999999999999998,0.04129988597490998
2012-10-31,0.43,0.020000000000000018,0.02129988597491002
2012-11-01,0.4,-0.02999999999999997,-0.02870011402508997
2012-11-02,0.38,-0.020000000000000018,-0.018700114025090017
2012-11-05,0.37,-0.010000000000000009,-0.008700114025090008
2012-11-06,0.38,0.010000000000000009,0.01129988597491001
2012-11-07,0.39,0.010000000000000009,0.01129988597491001
2012-11-08,0.38,-0.010000000000000009,-0.008700114025090008
2012-11-09,0.38,0.0,0.0012998859749100001
2012-11-13,0.37,-0.010000000000000009,-0.008700114025090008
2012-11-14,0.39,0.020000000000000018,0.02129988597491002
2012-11-15,0.37,-0.020000000000000018,-0.018700114025090017
2012-11-16,0.37,0.0,0.0012998859749100001
2012-11-19,0.37,0.0,0.0012998859749100001
2012-11-20,0.37,0.0,0.0012998859749100001
2012-11-21,0.38,0.010000000000000009,0.01129988597491001
2012-11-23,0.41,0.02999999999999997,0.03129988597490997
2012-11-26,0.36,-0.04999999999999999,-0.04870011402508999
2012-11-27,0.36,0.0,0.0012998859749100001
2012-11-28,0.35,-0.010000000000000009,-0.008700114025090008
2012-11-29,0.37,0.020000000000000018,0.02129988597491002
2012-11-30,0.37,0.0,0.0012998859749100001
2012-12-03,0.33,-0.03999999999999998,-0.03870011402508998
2012-12-04,0.39,0.06,0.06129988597491
2012-12-05,0.4,0.010000000000000009,0.01129988597491001
2012-12-06,0.4,0.0,0.0012998859749100001
2012-12-07,0.38,-0.020000000000000018,-0.018700114025090017
2012-12-10,0.37,-0.010000000000000009,-0.008700114025090008
2012-12-11,0.4,0.030000000000000027,0.03129988597491003
2012-12-12,0.39,-0.010000000000000009,-0.008700114025090008
2012-12-13,0.38,-0.010000000000000009,-0.008700114025090008
2012-12-14,0.38,0.0,0.0012998859749100001
2012-12-17,0.38,0.0,0.0012998859749100001
2012-12-18,0.38,0.0,0.0012998859749100001
2012-12-19,0.38,0.0,0.0012998859749100001
2012-12-20,0.38,0.0,0.0012998859749100001
2012-12-21,0.37,-0.010000000000000009,-0.008700114025090008
2012-12-24,0.38,0.010000000000000009,0.01129988597491001
2012-12-26,0.37,-0.010000000000000009,-0.008700114025090008
2012-12-27,0.38,0.010000000000000009,0.01129988597491001
2012-12-28,0.38,0.0,0.0012998859749100001
2012-12-31,0.38,0.0,0.0012998859749100001
2013-01-02,0.38,0.0,0.0012998859749100001
2013-01-03,0.38,0.0,0.0012998859749100001
2013-01-04,0.38,0.0,0.0012998859749100001
2013-01-07,0.38,0.0,0.0012998859749100001
2013-01-08,0.38,0.0,0.0012998859749100001
2013-01-09,0.37,-0.010000000000000009,-0.008700114025090008
2013-01-10,0.37,0.0,0.0012998859749100001
2013-01-11,0.37,0.0,0.0012998859749100001
2013-01-14,0.38,0.010000000000000009,0.01129988597491001
2013-01-15,0.38,0.0,0.0012998859749100001
2013-01-16,0.37,-0.010000000000000009,-0.008700114025090008
2013-01-17,0.36,-0.010000000000000009,-0.008700114025090008
2013-01-18,0.36,0.0,0.0012998859749100001
2013-01-22,0.36,0.0,0.0012998859749100001
2013-01-23,0.33,-0.02999999999999997,-0.02870011402508997
2013-01-24,0.35,0.019999999999999962,0.021299885974909963
2013-01-25,0.34,-0.009999999999999953,-0.008700114025089953
2013-01-28,0.33,-0.010000000000000009,-0.008700114025090008
2013-01-29,0.32,-0.010000000000000009,-0.008700114025090008
2013-01-30,0.31,-0.010000000000000009,-0.008700114025090008
2013-01-31,0.33,0.020000000000000018,0.02129988597491002
2013-02-01,0.33,0.0,0.0012998859749100001
2013-02-04,0.32,-0.010000000000000009,-0.008700114025090008
2013-02-05,0.34,0.020000000000000018,0.02129988597491002
2013-02-06,0.32,-0.020000000000000018,-0.018700114025090017
2013-02-07,0.33,0.010000000000000009,0.01129988597491001
2013-02-08,0.33,0.0,0.0012998859749100001
2013-02-11,0.34,0.010000000000000009,0.01129988597491001
2013-02-12,0.34,0.0,0.0012998859749100001
2013-02-13,0.34,0.0,0.0012998859749100001
2013-02-14,0.33,-0.010000000000000009,-0.008700114025090008
2013-02-15,0.35,0.019999999999999962,0.021299885974909963
